,sequence_length,r_error,case_error
0,1,0.4191334613182413,993.1744652363337
1,2,0.40376692807964115,1300.5633908748644
2,3,0.6219894549448022,1126.8237932059956
3,4,0.4643634498769611,1331.4151367098423
4,5,0.4367643255671074,1352.1710704646437
5,6,0.40701395311430333,1359.83779861625
6,7,0.37882047835353894,1601.0647159481093
7,8,0.4230848832808517,1588.8234200117488
8,9,0.4739797508644472,1574.6362883690383
9,10,0.4896360168018357,1630.1256888394184
10,11,0.43583112458817663,1441.3330923403705
11,12,0.43266009956675755,1511.4662371070947
12,13,0.4005732309951203,1511.7487247086683
13,14,0.41674018908353133,1546.950548097873
14,15,0.46389039922864655,1642.6977283250367
15,16,0.4895623957080812,1650.1738042737168
16,17,0.45593286381552556,1650.3259650409987
17,18,0.41947210768741644,1511.9954534836168
18,19,0.3995252157948207,1478.2743254591521
19,20,0.38056841660342866,1464.7047623275253
