,sequence_length,r_error,case_error
0,1,0.33783074142957464,689.0567410105941
1,2,0.3268291501274989,948.4886310828962
2,3,0.5331999949614724,1140.8648427476562
3,4,0.5088561110870766,1079.5149523854025
4,5,0.5411019551388702,1181.2040568170314
5,6,0.33287571087679024,968.7422432076371
6,7,0.3074547838961417,1150.10997867021
7,8,0.3445363108420442,1203.710540069659
8,9,0.39636703523525596,1165.4458622916538
9,10,0.4046315766069577,1300.196682574131
10,11,0.3568823247918856,1106.9269939016785
11,12,0.35414404374791636,1092.8989224878683
12,13,0.3242130674155233,1123.2298374869006
13,14,0.3426651308806995,1151.9091013488596
14,15,0.3861171441314096,1267.8762410637473
15,16,0.4088142538509817,1351.3788959872177
16,17,0.37423949009592483,1214.325322375515
17,18,0.3426094920787755,1103.9168255553818
18,19,0.3129509564551155,1074.6614039511644
19,20,0.31650223083314405,1070.4468285305209
