,sequence_length,r_error,case_error
0,1,0.22686706993585912,1332.282091271097
1,2,0.2223383852723352,1232.040810311473
2,3,0.3695946487798309,1975.5188960728062
3,4,0.369852469390092,2040.5219917276156
4,5,0.38749385945719156,2174.349268604396
5,6,0.23011403396440108,1156.887774934326
6,7,0.20921949625563094,1055.614569073865
7,8,0.23355837426083856,1141.7467550464567
8,9,0.2695395164072048,1230.467651840618
9,10,0.2855236485464888,1209.9999677173753
10,11,0.24729670135507775,1158.9439603232163
11,12,0.2473593720649867,1028.046670387209
12,13,0.21827854674874542,1040.5239264187057
13,14,0.23449214749084707,1072.7074043921282
14,15,0.2850969718315805,1204.6179154705576
15,16,0.28239376467893573,1206.3717311939643
16,17,0.2775513154941176,1117.5415430145897
17,18,0.2390530081037934,1063.3433101818803
18,19,0.21492491168954342,1033.1984302949816
19,20,0.21924250653357047,1003.9551074329004
