,sequence_length,r_error,case_error
0,1,0.31276978206755607,632.0891989828667
1,2,0.3012588582507691,836.0959031240516
2,3,0.4966782154827142,1232.724948572816
3,4,0.4771975566916833,1125.708386513414
4,5,0.508501130934234,1283.5241788995315
5,6,0.3126497624007136,914.5521737339031
6,7,0.2843501818040438,997.2538291444819
7,8,0.31821235284704474,1059.8482342390278
8,9,0.3661066411478046,1056.261559382392
9,10,0.3665792890185311,1134.031729409775
10,11,0.3320206714396798,962.1149256045433
11,12,0.32998579833150327,957.1648975369512
12,13,0.29915235738737617,962.5504378008363
13,14,0.31741671430584906,1020.4773061108639
14,15,0.35866250549937906,1141.0242406810219
15,16,0.37907556401128034,1213.4229993890035
16,17,0.34625988169741717,1082.4268962356573
17,18,0.32112459411535155,1031.8332664909772
18,19,0.2986294701350624,924.92755813264
19,20,0.29511903998388384,922.704906762004
