,sequence_length,r_error,case_error
0,1,0.2886962667132754,723.7447829567047
1,2,0.2786522013136672,795.443697651017
2,3,0.457237924557874,1401.5176881157981
3,4,0.4462208021139654,1336.3239599858177
4,5,0.4776559041641478,1532.893235410635
5,6,0.28570346524226053,829.1234189383176
6,7,0.25978744074856625,867.870278757188
7,8,0.2899257994816541,943.3714638915247
8,9,0.33466827469222143,966.2322189944623
9,10,0.34621218240557383,1074.3592023570095
10,11,0.304009567611531,889.3025050297201
11,12,0.3031367887247314,843.6566023455854
12,13,0.2721878174449075,844.8629225625533
13,14,0.2899463795856668,923.8183306833193
14,15,0.3287304362799515,1042.7195429549831
15,16,0.3468403949927943,1098.6922502169778
16,17,0.3160381694138085,990.8074841693704
17,18,0.2940142156604765,907.1048414021242
18,19,0.2648487187747121,784.9041063998721
19,20,0.27036248806141616,803.2414026855065
