,sequence_length,r_error,case_error
0,1,0.2587230453312994,965.581170848881
1,2,0.25043948975989827,921.8906178782373
2,3,0.4143225075945314,1648.482280381327
3,4,0.4102927119970821,1640.6628174290922
4,5,0.42329127625077656,1668.9626192042952
5,6,0.2581322067771393,871.8559362379425
6,7,0.23428527586184036,856.4547982666859
7,8,0.2615129552572214,940.5996670237621
8,9,0.3021568326168306,1012.814573891806
9,10,0.31596902456505643,1055.5897440379147
10,11,0.27585662197225863,932.4511630630436
11,12,0.27540033165327327,837.5170081436256
12,13,0.2450342701228176,837.8286616608293
13,14,0.26208407519701216,924.7563710924695
14,15,0.29538279522655114,1048.6770894361614
15,16,0.3143230674043429,1067.7880129355947
16,17,0.2952567196361114,998.4150492036812
17,18,0.2577575416053375,894.5507246699689
18,19,0.242649642187078,816.1795253890583
19,20,0.24498136644258486,792.9505485043802
