,sequence_length,r_error,case_error
0,1,0.3922605443648143,891.0217732131277
1,2,0.3783540706654461,1192.4405861752386
2,3,0.5982865374858073,1085.1060623121837
3,4,0.451659179867088,1238.3221923800475
4,5,0.6014903338694396,1152.8305164120457
5,6,0.3820230854866353,1250.5623725441992
6,7,0.35299827585393717,1429.8481733776305
7,8,0.3974373809387891,1476.4588063524257
8,9,0.4450408374678671,1471.827399782628
9,10,0.4614100669011856,1528.460762435619
10,11,0.40973323056765726,1337.218121638707
11,12,0.4076887438987948,1400.07376206451
12,13,0.37368524321010865,1384.8363835620735
13,14,0.39227329305980196,1444.7262512759032
14,15,0.43688074595753074,1540.1382048779208
15,16,0.46094940838251514,1543.529102936908
16,17,0.4284269945254736,1543.3518241095126
17,18,0.3936056833849156,1395.3815495765366
18,19,0.37501334957419985,1359.671469835717
19,20,0.35956272246384396,1348.2604568575684
