,sequence_length,r_error,case_error
0,1,0.16883812897094375,2775.0536713063634
1,2,0.1646713701207865,2506.0243380993384
2,3,0.2758395228436808,3094.0152965463544
3,4,0.2757383777088261,3283.7518855763255
4,5,0.2967588639501812,3631.2849084775507
5,6,0.1689020292158891,2451.479234223531
6,7,0.1565524750543092,2298.5649407332603
7,8,0.17401791611451756,2426.849271786819
8,9,0.20357870270993694,2343.14376964705
9,10,0.2158966459665311,2319.6402573781356
10,11,0.18807064719370548,2329.852713871966
11,12,0.18531727169432527,2260.640251715581
12,13,0.16012714033035397,2296.5132848552194
13,14,0.17853852222740313,2201.664716000019
14,15,0.21972339232948046,2308.1220321043297
15,16,0.23621566888513226,2165.8979021792748
16,17,0.215601800384864,2168.7446883503517
17,18,0.20228056921714396,2213.467304559451
18,19,0.1588856104050815,2322.1086755620313
19,20,0.1696120969542482,2183.366348037934
