,sequence_length,r_error,case_error
0,1,0.13813458651147376,3910.794217289264
1,2,0.13744309373355987,3704.5203694063607
2,3,0.2322194727381017,4140.724137593522
3,4,0.2385849673127527,4601.31894186566
4,5,0.24959311520461727,4817.247811547362
5,6,0.13798783064945316,3529.723109782306
6,7,0.12945684803081237,3418.945192967327
7,8,0.14594120971896388,3530.8778879543656
8,9,0.17142039665309564,3388.2274275316736
9,10,0.1864776713145079,3366.5914686066762
10,11,0.15931583994906787,3422.418305801642
11,12,0.15538339447733718,3342.3682228100256
12,13,0.15109915261127918,3476.5199850542967
13,14,0.14997084674851802,3486.7643069033734
14,15,0.18832805638667416,3356.7893601729847
15,16,0.20195047507668687,3207.5146366749573
16,17,0.18713200767938928,3218.792119988402
17,18,0.1724844430459845,3277.1141166253046
18,19,0.13063325381078122,3456.5634377870856
19,20,0.17182138503168284,3274.368220285962
